"画面","機能","概要","ディレクトリ有無","補足"
"ナレッジ検索","類似案件検索","類似プロジェクト検索","一部あり","プロジェクトRAGはあるが類似案件検索専用ではない"
"ナレッジ検索","QMS・社内標準プロセス提示","標準プロセスに基づく回答","あり","D01-D13のPMO標準文書RAGあり"
"ナレッジ検索","テナント分離インデックス参照","テナント別参照設計","一部あり","テナントUIとプロジェクト別RAGはあるが論理分離中心"
"AIコパイロット","コンテキスト認識チャット","状況を踏まえた対話","一部あり","RAGチャット/PMOチャットあり。画面文脈自動読込は弱い"
"AIコパイロット","開いている画面情報の自動読込","現在画面の自動認識","なし","専用機能は未確認"
"AIコパイロット","根本原因分析などの指示応答","RCA的な相談応答","あり","Orchestrator/PMO支援で品質・不具合・リスク相談あり"
"監査ログ・根拠トレース","AI主張への根拠リンク表示","主張と根拠の紐づけ","あり","RAG source/chunk、根拠候補表示あり"
"監査ログ・根拠トレース","Jira／Slack原文への遷移","外部原文リンク","なし","Jira/Slack連携は未実装扱い"
"監査ログ・根拠トレース","推論プロセス開示","判断過程の表示","あり","Orchestrator traceあり"
"監査ログ・根拠トレース","参照ソース開示","参照文書の表示","あり","RAG検索結果・回答根拠にあり"
"管理・設定","テナント切替","テナント選択","モックあり","Access Flowに存在"
"管理・設定","案件切替","プロジェクト選択","あり","project_store.py、Access Flowに存在"
"管理・設定","RBAC認可設計","権限設計","モックあり","ロール/アクセス導線はあるが強制認可は限定的"
"管理・設定","Jira連携設定","読取り連携設定","なし","連携未実装とのレポートあり"
"管理・設定","Slack連携設定","読取り連携設定","なし","連携未実装とのレポートあり"
"管理・設定","Confluence連携設定","読取り連携設定","なし","連携未実装とのレポートあり"
"管理・設定","Git連携設定","読取り連携設定","なし","Git自体も未利用方針の記述あり"
"管理・設定","パイプライン状態監視","取込・評価状態の監視","一部あり","評価Cockpit/インデックス状態はあるが外部同期監視ではない"
"管理・設定","最終同期情報表示","最終取込・同期時刻","一部あり","last_indexed_at 等はある。外部同期ではない"
"横断レイヤ","各種ツールAPI連携","Jira等から読取り","なし","ローカル取込はあるが外部API連携は未実装"
"横断レイヤ","自動書き戻し","Jira/Confluenceへ反映","なし","テキスト上も対象外"
"横断レイヤ","タスク滞留検知","滞留タスク検知","モックあり","デモデータ・AI管制で近い"
"横断レイヤ","仕様変更頻度異常検知","変更頻度の異常検知","モックあり","変更影響分析はある"
"横断レイヤ","バグ率異常検知","バグ率・重大不具合検知","モックあり","不具合/品質指標デモあり"
"横断レイヤ","レポート自動生成","レポート生成","あり","PMO支援/成果物生成にあり"
"横断レイヤ","議事録自動生成","議事録生成","一部あり","議事録系支援はあるが専用完成度は限定的"
"横断レイヤ","テスト計画と要件の整合性チェック","要件・テスト整合確認","なし","Phase2相当"
"横断レイヤ","過去事例RAG","過去情報検索","あり","グローバルRAG/プロジェクトRAGあり"
"横断レイヤ","QMS準拠支援","標準準拠支援","あり","PMO標準文書RAGあり"
"横断レイヤ","入力標準ルール運用支援","金曜更新・Blocked運用等","なし","ルール運用支援は未確認"
"横断レイヤ","HITL承認フロー","人手承認","一部あり","簡易承認UIあり"
"横断レイヤ","ハルシネーション時の承認前ブロック","根拠不足時のブロック","一部あり","抑制評価・根拠不足警告はあるが厳密ブロックは弱い"
"PoC評価","レポート作業時間50%以上削減","工数削減KPI","一部あり","KPI効果測定ストアあり。合否評価は要確認"
"PoC評価","赤字率20%未満","修正率・赤字率評価","なし","明確な赤字率算出は未確認"
"PoC評価","事実誤認0件","事実誤認検知","一部あり","Golden/API評価・根拠不足評価はある"
"PoC評価","予兆検知の先行性","N営業日先行","なし","デモ予兆はあるが先行日数比較は未確認"
"PoC評価","HITLブロック実演","承認前ブロックデモ","一部あり","HITL/根拠不足警告はあるが完全ブロック実装は要確認"
