id,activity,trigger,defect_type,qualifier,impact,cases,summary
S-PRJ-04,Inspection,LATERAL_COMPAT,IFACE,INCORRECT,USABILITY,0,JSONリストがPython表記のまま表示される
S-PRJ-05,Inspection,LOGIC_FLOW,ALGO,INCORRECT,USABILITY,0,件数をそのまま%幅に流用しておりバーが意味を持たない
S-DSH-20,Inspection,LATERAL_COMPAT,ALGO,INCORRECT,USABILITY,0,NULLの並び順がDB依存
S-DSH-23,Inspection,LOGIC_FLOW,ALGO,INCORRECT,USABILITY,0,ガントの案件順がページごとに変わる
S-DSH-24,Inspection,RARE_SITUATION,CHECK,MISSING,USABILITY,0,表示切替の大小差異でタブと実表示がずれる
S-PMO-29,Inspection,LOGIC_FLOW,DOC,MISSING,USABILITY,0,平均の分母が総数と違う理由が画面に無い
S-DSH-18,Inspection,COVERAGE,FUNC,MISSING,CAPABILITY,0,アラートを確認・解消する画面が無く、先行日数が測れず点数が下がり続ける
S-PMO-08,Inspection,SEQUENCING,FUNC,MISSING,CAPABILITY,0,差し戻し後に再申請できずデッドロックする
S-PMO-10,Inspection,SEQUENCING,CHECK,MISSING,SECURITY,0,承認依頼後に本文を差し替えられる
S-PMO-11,Inspection,DESIGN_CONFORMANCE,CHECK,MISSING,REQUIREMENTS,0,確定本文が空でも承認できる
S-PMO-12,Inspection,LOGIC_FLOW,CHECK,INCORRECT,REQUIREMENTS,0,根拠評価が無い成果物が素通しで承認できる
S-PMO-13,Inspection,COVERAGE,FUNC,MISSING,REQUIREMENTS,0,矛盾検出が未実装で常に「矛盾なし」
S-PMO-14,Inspection,LOGIC_FLOW,ALGO,INCORRECT,CAPABILITY,0,計画ドラフトが必ず事実誤認と判定され承認できない
S-PMO-15,Inspection,LOGIC_FLOW,ALGO,INCORRECT,CAPABILITY,0,件数表記をWBSコードとして拾い不一致にする
S-PMO-16,Inspection,LOGIC_FLOW,ALGO,INCORRECT,CAPABILITY,0,計画日を実績日と誤認して不一致にする
S-PMO-17,Inspection,LOGIC_FLOW,ALGO,INCORRECT,SERVICEABILITY,0,根拠の有無を数字の部分一致で判定している
S-PMO-20,Inspection,COVERAGE,FUNC,MISSING,REQUIREMENTS,0,人による確認の記録を作るコードが無い
S-PMO-23,Inspection,SIDE_EFFECTS,ALGO,INCORRECT,PERFORMANCE,0,GETが書き込みを行い、開くたびに実行履歴が増える
S-PMO-19,Inspection,LATERAL_COMPAT,IFACE,INCORRECT,SERVICEABILITY,0,実行計画に辞書でなくリストを入れており、画面が無言で空になる
S-PMO-22,Inspection,INTERNAL_DOC,ALGO,INCORRECT,SERVICEABILITY,0,計画に載るのに実行されないツールがある
S-INT-06,Inspection,COVERAGE,FUNC,MISSING,CAPABILITY,0,Confluence/Git は接続を作れるのに同期する導線が無い
S-DOC-08,Inspection,COVERAGE,FUNC,MISSING,CAPABILITY,0,文書の原本を取り出す導線が無い
S-DOC-05,Inspection,INTERNAL_DOC,REL,MISSING,CAPABILITY,0,依存ゼロで通るはずの経路がUIから到達できない
S-PMO-21,Inspection,COVERAGE,FUNC,MISSING,CAPABILITY,0,相談履歴を残すモデルが未使用で再表示できない
S-PMO-25,Inspection,DESIGN_CONFORMANCE,REL,INCORRECT,USABILITY,0,案件を選んでも一覧が絞り込まれない
S-PMO-06,Inspection,RARE_SITUATION,CHECK,MISSING,USABILITY,0,不正な指定を黙って先頭行へ丸める
S-PMO-24,Inspection,SIDE_EFFECTS,ALGO,INCORRECT,USABILITY,0,未完成のテンプレ本文で即実行しゴミが残る
S-PMO-09,Inspection,COVERAGE,FUNC,MISSING,SERVICEABILITY,0,差し戻し理由の入力欄が無く常に空で記録される
S-RAG-08,Inspection,SEQUENCING,ASSIGN,MISSING,USABILITY,0,検索範囲の選択が送信のたびに既定へ戻る
S-DOC-09,Inspection,LATERAL_COMPAT,REL,INCORRECT,USABILITY,0,2画面で選択肢の母集合が違う
S-DOC-10,Inspection,SEQUENCING,ALGO,INCORRECT,USABILITY,0,条件を変えるたびにプレビューへ戻り、案件なし出力ができない
S-PMO-26,Inspection,COVERAGE,REL,MISSING,CAPABILITY,0,画面文脈の導線が13定義中3画面にしかない
S-PMO-27,Inspection,RARE_SITUATION,ALGO,INCORRECT,RELIABILITY,0,記号を含む名前でパラメータが壊れる
S-PMO-28,Inspection,COVERAGE,FUNC,MISSING,USABILITY,0,テナント未選択時に切替導線が無い
S-RAG-06,Inspection,RARE_SITUATION,CHECK,MISSING,USABILITY,0,インデックス未作成時に壊れた表示になる
S-RAG-07,Inspection,RARE_SITUATION,FUNC,MISSING,USABILITY,0,テナント未確定時に無言でリダイレクトする
S-RAG-09,Inspection,RARE_SITUATION,ALGO,INCORRECT,USABILITY,0,前回実行の比較条件が同時刻を含み差分が0で固定される
S-INT-03,Inspection,COVERAGE,FUNC,MISSING,PERFORMANCE,0,パイプライン画面だけページングが無い
S-INT-07,Inspection,LATERAL_COMPAT,IFACE,INCORRECT,MAINTENANCE,0,基底クラスと呼び出しの引数が食い違っている
S-PMO-18,Inspection,LATERAL_COMPAT,IFACE,INCORRECT,MAINTENANCE,0,存在しないフィールドを読む死んだコード
S-PMO-07,Inspection,COVERAGE,ALGO,INCORRECT,PERFORMANCE,0,全件に事実照合してからページングする
S-DSH-22,Inspection,COVERAGE,ALGO,INCORRECT,PERFORMANCE,0,全成果物に上限なしで事実照合と全文差分を行う
S-DSH-21,Inspection,COVERAGE,ALGO,INCORRECT,PERFORMANCE,0,案件ごとに問い合わせるN+1
S-DSH-06,Inspection,RARE_SITUATION,CHECK,MISSING,USABILITY,0,案件未選択時に全案件へ一括で書き込む
S-UI-05,Inspection,DESIGN_CONFORMANCE,ALGO,INCORRECT,ACCESSIBILITY,0,フォーカスリングが消えている
S-UI-06,Inspection,LATERAL_COMPAT,ALGO,INCORRECT,ACCESSIBILITY,0,白背景に白文字で不可視
S-UI-07,Inspection,COVERAGE,IFACE,MISSING,ACCESSIBILITY,0,開閉状態が支援技術へ伝わらない
S-UI-08,Inspection,COVERAGE,IFACE,MISSING,ACCESSIBILITY,0,ボタンの読み上げ名が空
S-UI-09,Inspection,COVERAGE,IFACE,MISSING,ACCESSIBILITY,0,結果メッセージが読み上げられない
S-UI-10,Inspection,COVERAGE,FUNC,MISSING,ACCESSIBILITY,0,本文へのスキップ導線が無い
S-UI-11,Inspection,COVERAGE,IFACE,MISSING,ACCESSIBILITY,0,絞り込み入力にラベルが無い
S-UI-12,Inspection,DESIGN_CONFORMANCE,IFACE,INCORRECT,ACCESSIBILITY,0,ラベルの付け方が混在している
S-UI-13,Inspection,COVERAGE,IFACE,MISSING,ACCESSIBILITY,0,ガントの棒がキーボードで読めない
S-UI-14,Inspection,LOGIC_FLOW,ALGO,INCORRECT,ACCESSIBILITY,0,無効化したボタンの理由が読めない
S-UI-15,Inspection,COVERAGE,IFACE,MISSING,ACCESSIBILITY,0,表の見出しの対応が機械に伝わらない
S-UI-16,Inspection,DESIGN_CONFORMANCE,ALGO,INCORRECT,ACCESSIBILITY,0,文字が小さすぎる
S-UI-17,Inspection,COVERAGE,FUNC,MISSING,USABILITY,0,狭い画面向けの指定がほぼ無い
S-UI-18,Inspection,COVERAGE,FUNC,MISSING,USABILITY,0,スマホでもサイドバーが固定幅で場所を食う
S-UI-19,Inspection,RARE_SITUATION,ALGO,INCORRECT,USABILITY,0,狭幅でヘッダと定義リストが破綻する
S-UI-01,Inspection,RARE_SITUATION,FUNC,MISSING,USABILITY,0,0件のとき見出しだけの空表になる
S-UI-02,Inspection,LOGIC_FLOW,FUNC,MISSING,USABILITY,0,無言で打ち切り、続きへの導線が無い
S-UI-03,Inspection,COVERAGE,FUNC,MISSING,USABILITY,0,失敗の理由が画面に出ない
S-UI-04,Inspection,DESIGN_CONFORMANCE,IFACE,INCORRECT,USABILITY,0,エラー表示の方式が3系統に分裂している
S-UI-20,Inspection,DESIGN_CONFORMANCE,IFACE,INCORRECT,USABILITY,0,同じ意味のUIに複数のクラスが混在する
S-UI-21,Inspection,DESIGN_CONFORMANCE,FUNC,MISSING,USABILITY,0,同じ台帳系なのに絞り込みが無い画面がある
S-UI-22,Inspection,DESIGN_CONFORMANCE,REL,INCORRECT,USABILITY,0,同じ操作の置き場所が画面ごとに違う
S-UI-23,Inspection,DESIGN_CONFORMANCE,ALGO,EXTRANEOUS,MAINTENANCE,0,インラインスタイルが145箇所に散在する
S-UI-24,Inspection,LATERAL_COMPAT,ASSIGN,INCORRECT,USABILITY,0,未定義のクラスを指定しており色が付かない
S-UI-25,Inspection,LATERAL_COMPAT,ASSIGN,INCORRECT,USABILITY,0,レイアウト用クラスを装飾に誤用している
S-UI-26,Inspection,LATERAL_COMPAT,REL,INCORRECT,USABILITY,0,定義リストの中身が想定した要素でない
S-UI-27,Inspection,LOGIC_FLOW,ASSIGN,EXTRANEOUS,MAINTENANCE,0,同じ定義が二重にあり後勝ちしている
S-UI-28,Inspection,COVERAGE,FUNC,MISSING,USABILITY,0,ログイン画面でメッセージが出ない
S-UI-29,Inspection,DESIGN_CONFORMANCE,ASSIGN,MISSING,MAINTENANCE,0,間隔・字送り・重なり順のトークンが無い
S-UI-30,Inspection,COVERAGE,FUNC,MISSING,USABILITY,0,暗い配色に対応しておらず一部だけ暗転する
S-BLD-01,Inspection,COVERAGE,BUILD,MISSING,INSTALLABILITY,0,クリーンな取得直後に初期化が失敗する（保存先ディレクトリが作られない）
S-BLD-02,Inspection,COVERAGE,BUILD,INCORRECT,MAINTENANCE,0,クリーンな取得直後に静的チェックが失敗する
